,origin,hs07,year,export_val
389,ago,Plastics / Rubbers,2017,2159220.27
390,ago,"Raw Hides, Skins, Leather, & Furs",2008,50443.96
391,ago,"Raw Hides, Skins, Leather, & Furs",2009,24368.0
392,ago,"Raw Hides, Skins, Leather, & Furs",2010,134453.73
393,ago,"Raw Hides, Skins, Leather, & Furs",2011,196308.93
394,ago,"Raw Hides, Skins, Leather, & Furs",2012,111824.76999999999
395,ago,"Raw Hides, Skins, Leather, & Furs",2013,99635.98000000001
396,ago,"Raw Hides, Skins, Leather, & Furs",2014,135113.77
397,ago,"Raw Hides, Skins, Leather, & Furs",2015,55893.0
398,ago,"Raw Hides, Skins, Leather, & Furs",2016,173971.68
399,ago,"Raw Hides, Skins, Leather, & Furs",2017,113683.16
400,ago,Stone / Glass,2008,870688633.28
401,ago,Stone / Glass,2009,442198066.35
402,ago,Stone / Glass,2010,407004.02
403,ago,Stone / Glass,2011,1187553.27
404,ago,Stone / Glass,2012,11157153.79
405,ago,Stone / Glass,2013,15408788.120000001
406,ago,Stone / Glass,2014,812230426.0
407,ago,Stone / Glass,2015,1668154868.24
408,ago,Stone / Glass,2016,1911613349.08
409,ago,Stone / Glass,2017,1298455582.88
410,ago,Textiles,2008,209890.55
411,ago,Textiles,2009,305777.03
412,ago,Textiles,2010,922358.7899999999
413,ago,Textiles,2011,490983.99000000005
414,ago,Textiles,2012,685080.1900000001
415,ago,Textiles,2013,243400.29
416,ago,Textiles,2014,308903.22
417,ago,Textiles,2015,259386.71000000002
418,ago,Textiles,2016,554056.93
419,ago,Textiles,2017,426293.37
420,ago,Transportation,2008,81966936.89
421,ago,Transportation,2009,22183489.96
422,ago,Transportation,2010,166229640.43
423,ago,Transportation,2011,11873107.920000002
424,ago,Transportation,2012,21648128.58
425,ago,Transportation,2013,657260683.91
426,ago,Transportation,2014,18366402.61
427,ago,Transportation,2015,4880447.02
428,ago,Transportation,2016,9770310.34
429,ago,Transportation,2017,304385394.23
430,ago,Vegetable Products,2008,1441252.7999999998
431,ago,Vegetable Products,2009,1022346.06
432,ago,Vegetable Products,2010,2479160.9
433,ago,Vegetable Products,2011,1780485.13
434,ago,Vegetable Products,2012,3051324.7199999997
435,ago,Vegetable Products,2013,610517.3500000002
436,ago,Vegetable Products,2014,3290161.3800000004
437,ago,Vegetable Products,2015,4785353.59
438,ago,Vegetable Products,2016,6589067.81
439,ago,Vegetable Products,2017,11275997.200000001
440,ago,Wood & Wood Products,2008,2845751.45
441,ago,Wood & Wood Products,2009,42258131.54000001
442,ago,Wood & Wood Products,2010,17748970.02
443,ago,Wood & Wood Products,2011,17913167.259999998
444,ago,Wood & Wood Products,2012,22619208.029999997
445,ago,Wood & Wood Products,2013,5968834.149999999
446,ago,Wood & Wood Products,2014,13359375.129999997
447,ago,Wood & Wood Products,2015,29079140.159999996
448,ago,Wood & Wood Products,2016,29409179.38
449,ago,Wood & Wood Products,2017,33587612.49
450,aia,Animal & Animal Products,2008,44137.92
451,aia,Animal & Animal Products,2009,32075.67
452,aia,Animal & Animal Products,2010,24578.0
453,aia,Animal & Animal Products,2011,2384.0
454,aia,Animal & Animal Products,2012,2772.79
455,aia,Animal & Animal Products,2013,37492.93
456,aia,Animal & Animal Products,2014,1000.0
457,aia,Animal & Animal Products,2015,609441.12
458,aia,Animal & Animal Products,2016,0.0
459,aia,Animal & Animal Products,2017,23106.96
460,aia,Chemicals & Allied Industries,2008,110682.97
461,aia,Chemicals & Allied Industries,2009,674263.3899999999
462,aia,Chemicals & Allied Industries,2010,439299.6399999999
463,aia,Chemicals & Allied Industries,2011,575899.39
464,aia,Chemicals & Allied Industries,2012,242282.88
465,aia,Chemicals & Allied Industries,2013,78771.73999999999
466,aia,Chemicals & Allied Industries,2014,166770.72
467,aia,Chemicals & Allied Industries,2015,407678.88
468,aia,Chemicals & Allied Industries,2016,369067.19999999995
469,aia,Chemicals & Allied Industries,2017,108818.43
470,aia,Foodstuffs,2008,4798937.39
471,aia,Foodstuffs,2009,8493529.99
472,aia,Foodstuffs,2010,2427755.65
473,aia,Foodstuffs,2011,2151020.55
474,aia,Foodstuffs,2012,2596439.02
475,aia,Foodstuffs,2013,1855173.67
476,aia,Foodstuffs,2014,3013645.6599999997
477,aia,Foodstuffs,2015,4571942.580000001
478,aia,Foodstuffs,2016,2534246.43
479,aia,Foodstuffs,2017,3540208.09
480,aia,Footwear / Headgear,2008,3241.0
481,aia,Footwear / Headgear,2009,44459.0
482,aia,Footwear / Headgear,2010,0.0
483,aia,Footwear / Headgear,2011,16045.0
484,aia,Footwear / Headgear,2012,10314.0
485,aia,Footwear / Headgear,2013,11444.0
486,aia,Footwear / Headgear,2014,56485.0
487,aia,Footwear / Headgear,2015,84663.0
488,aia,Footwear / Headgear,2016,14985.0
489,aia,Footwear / Headgear,2017,24966.0
490,aia,Machinery / Electrical,2008,2788351.0
491,aia,Machinery / Electrical,2009,7860926.99
